baseline,compare,metric,n_tasks,n_ties,n_non_tie,mean_baseline_minus_compare,bootstrap_ci_low,bootstrap_ci_high,sign_test_p_two_sided,wins_baseline,wins_compare
fixed_peer_calibrated,central_orchestrator,answer_f1,200,182,18,0.015233,-0.012673,0.045551,0.237885,12,6
fixed_peer_calibrated,central_orchestrator_with_reflection,answer_f1,200,167,33,0.016095,-0.023564,0.056488,0.48685,19,14
fixed_peer_calibrated,fixed_self_calibrated,answer_f1,200,171,29,0.017723,-0.01704,0.052966,0.136046,19,10
fixed_peer_calibrated,fixed_static_roles,answer_f1,200,182,18,0.015233,-0.012673,0.045551,0.237885,12,6
fixed_peer_calibrated,fixed_self_claim,answer_f1,200,148,52,0.033559,-0.018917,0.086296,0.33175,30,22
fixed_peer_calibrated,single_agent,answer_f1,200,148,52,0.033559,-0.018917,0.086296,0.33175,30,22
